종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
000020,동화약품,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000040,KR모터스,2026-07-01,경기관련소비재,자동차와부품,자동차,,그외 기타 운송장비 제조업
000050,경방,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,종합 소매업
000070,삼양홀딩스,2026-07-01,소재,소재,화학,KRX 필수소비재,기타 금융업
000080,하이트진로,2026-07-01,필수소비재,"식품,음료,담배",음료,KRX 필수소비재,알코올음료 제조업
000100,유한양행,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
000120,CJ대한통운,2026-07-01,산업재,운송,항공화물운송과물류,KRX 운송,도로 화물 운송업
000140,하이트진로홀딩스,2026-07-01,필수소비재,"식품,음료,담배",음료,,기타 금융업
000150,두산,2026-07-01,산업재,자본재,복합기업,,전자부품 제조업
000180,성창기업지주,2026-07-01,소재,소재,종이와목재,,회사 본부 및 경영 컨설팅 서비스업
000210,DL,2026-07-01,소재,소재,화학,KRX 에너지화학,기초 화학물질 제조업
000220,유유제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000230,일동홀딩스,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000240,한국앤컴퍼니,2026-07-01,경기관련소비재,자동차와부품,자동차부품,KRX 자동차,기타 금융업
000250,삼천당제약,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,의약품 제조업
000270,기아,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 자동차,자동차용 엔진 및 자동차 제조업
000300,DH오토넥스,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
000320,노루홀딩스,2026-07-01,산업재,자본재,건축자재,,기타 금융업
000370,한화손해보험,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000390,SP삼화,2026-07-01,산업재,자본재,건축자재,,기타 화학제품 제조업
000400,롯데손해보험,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000430,대원강업,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
000440,중앙에너비스,2026-07-01,에너지,에너지,석유와가스,,기타 전문 도매업
000480,CR홀딩스,2026-07-01,소재,소재,비철금속,,"내화, 비내화 요업제품 제조업"
000490,대동,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
000500,가온전선,2026-07-01,산업재,자본재,전기장비,KRX 기계장비,절연선 및 케이블 제조업
000520,삼일제약,2026-07-01,건강관리,제약과생물공학,제약,,의약품 제조업
000540,흥국화재,2026-07-01,금융,보험,손해보험,,보험업
000590,CS홀딩스,2026-07-01,소재,소재,철강,,기타 금융업
000640,동아쏘시오홀딩스,2026-07-01,건강관리,제약과생물공학,제약,KRX 헬스케어,기타 금융업
000650,천일고속,2026-07-01,산업재,운송,도로와철도운송,,육상 여객 운송업
000660,SK하이닉스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,KRX 반도체,반도체 제조업
000670,영풍,2026-07-01,IT,기술하드웨어와장비,핸드셋,KRX 철강,1차 비철금속 제조업
000680,LS네트웍스,2026-07-01,금융,증권,증권,,상품 종합 도매업
000700,유수홀딩스,2026-07-01,산업재,운송,항공화물운송과물류,,회사 본부 및 경영 컨설팅 서비스업
000720,현대건설,2026-07-01,산업재,자본재,건설,KRX 건설,토목 건설업
000760,이화산업,2026-07-01,소재,소재,화학,,기타 전문 도매업
000810,삼성화재,2026-07-01,금융,보험,손해보험,KRX 보험,보험업
000850,화천기공,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
000860,강남제비스코,2026-07-01,산업재,자본재,건축자재,,기타 화학제품 제조업
000880,한화,2026-07-01,산업재,자본재,복합기업,,기타 화학제품 제조업
000890,보해양조,2026-07-01,필수소비재,"식품,음료,담배",음료,,알코올음료 제조업
000910,유니온,2026-07-01,산업재,자본재,건축자재,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
000950,전방,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,방적 및 가공사 제조업
